180,197,0.25,note
261,205,0.25,note
342,210,0.25,note
422,210,0.25,note
517,197,0.25,note
600,205,0.25,note
685,210,0.5,note
181,414,0.25,note
260,420,0.25,note
342,427,0.25,note
423,427,0.25,note
517,414,0.25,note
601,421,0.25,note
685,427,0.5,note
182,676,0.25,note
268,669,0.25,note
352,662,0.25,note
438,669,0.25,note
535,676,0.5,note
678,681,0.5,note
175,923,0.25,note
253,923,0.25,note
328,886,0.25,rest
407,886,0.25,rest
502,923,0.25,note
579,923,0.25,note
654,886,0.25,rest
733,886,0.25,rest
